Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Tuesday,18-30,Male,Elementary school,2-5yr,Turbo,13.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,Drunk driving,Slight Injury,18
Friday,31-50,Male,Junior high school,1-2yr,Pick up upto 10Q,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury,12
Friday,31-50,Male,Elementary school,1-2yr,Other,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,12
Wednesday,18-30,Male,High school,No Licence,Stationwagen,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving to the left,Slight Injury,7
Wednesday,31-50,Male,Junior high school,5-10yr,Pick up upto 10Q,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,7
Sunday,18-30,Female,Junior high school,1-2yr,Lorry (41?100Q),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,6
Sunday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),13.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Female,Over 51,3,Not a Pedestrian,Driving carelessly,Serious Injury,6
Saturday,31-50,Male,Junior high school,5-10yr,Automobile,13.0,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Pedestrian,Female,18-30,3,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury,15
Wednesday,31-50,Male,Junior high school,5-10yr,Automobile,13.0,Residential areas,other,Tangent road with flat terrain,Crossing,Other,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,18
Thursday,18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,0.0,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,21
Thursday,18-30,Male,Junior high school,2-5yr,Pick up upto 10Q,13.0,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,21
Thursday,18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),8.0,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,21
Friday,31-50,Male,Junior high school,Above 10yr,Public (12 seats),13.0,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,Male,31-50,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,16
Friday,31-50,Male,Junior high school,5-10yr,Other,13.0, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,16
Friday,31-50,Male,Elementary school,Above 10yr,Stationwagen,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,16
Friday,18-30,Female,Junior high school,Above 10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,3,3,Going straight,Pedestrian,Male,Over 51,2,Unknown or other,No priority to vehicle,Slight Injury,16
Friday,18-30,Female,Elementary school,2-5yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,16
Monday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,20
Monday,18-30,Male,Junior high school,Below 1yr,Stationwagen,13.0,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,20
Monday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),13.0, Church areas,Undivided Two way,Sharp reverse curve,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Changing lane to the right,Slight Injury,20
Tuesday,31-50,Male,High school,Above 10yr,Public (> 45 seats),13.0,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,8.0,Other,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,20
Thursday,31-50,Male,Elementary school,1-2yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,20
Sunday,31-50,Male,Junior high school,5-10yr,Automobile,8.0, Church areas,Unknown,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Reversing,Passenger,Male,18-30,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,13
Sunday,31-50,Male,Above high school,1-2yr,Automobile,2.0,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,13
Sunday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),0.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,13
Tuesday,31-50,Male,Junior high school,1-2yr,Lorry (41?100Q),13.0,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,16
Tuesday,31-50,Male,Junior high school,5-10yr,Automobile,5.0,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving to the left,Slight Injury,16
Monday,31-50,Male,Junior high school,2-5yr,Stationwagen,13.0, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,No priority to vehicle,Serious Injury,15
Wednesday,18-30,Male,Junior high school,5-10yr,Public (12 seats),2.0,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,17
Tuesday,18-30,Male,Junior high school,2-5yr,Public (12 seats),13.0,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Other,Driver or rider,Female,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,18
Tuesday,18-30,Male,Junior high school,2-5yr,Automobile,8.0,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,3,3,Moving Backward,Passenger,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,18
Tuesday,31-50,Male,Junior high school,Above 10yr,Public (12 seats),13.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Other,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,18
Tuesday,Over 51,Male,Junior high school,1-2yr,Public (12 seats),5.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,18
Saturday,31-50,Male,Above high school,1-2yr,Lorry (41?100Q),0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,18
Saturday,31-50,Male,Above high school,No Licence,Automobile,5.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Changing lane to the left,Slight Injury,18
Friday,18-30,Male,Junior high school,1-2yr,Lorry (41?100Q),5.0, Church areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,12
Monday,18-30,Male,Junior high school,Above 10yr,Automobile,13.0,  Market areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,3,4,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Serious Injury,15
Monday,18-30,Male,Junior high school,Above 10yr,Stationwagen,13.0,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,4,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,15
Monday,Over 51,Male,Junior high school,5-10yr,Automobile,0.0,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,Overturning,Serious Injury,15
Monday,Over 51,Male,Elementary school,2-5yr,Automobile,0.0, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Serious Injury,15
Thursday,18-30,Male,Junior high school,2-5yr,Automobile,2.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,8
Wednesday,31-50,Male,Junior high school,Below 1yr,Stationwagen,0.0,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Serious Injury,16
Saturday,18-30,Male,Junior high school,2-5yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Saturday,18-30,Male,Junior high school,2-5yr,Other,0.0,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,Changing lane to the left,Slight Injury,19
Monday,18-30,Male,Elementary school,5-10yr,Other,0.0,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Fog or mist,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,Unknown or other,No distancing,Slight Injury,8
Monday,31-50,Male,Junior high school,Above 10yr,Automobile,0.0,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Daylight,Fog or mist,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,Under 18,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,8
Saturday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,17
Saturday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),2.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,17
Tuesday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),5.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,20
Saturday,31-50,Male,Above high school,2-5yr,Automobile,5.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,14
Saturday,18-30,Male,Junior high school,5-10yr,Automobile,2.0,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,14
Friday,Over 51,Male,Junior high school,1-2yr,Public (13?45 seats),0.0, Church areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,14
Tuesday,Over 51,Male,Junior high school,2-5yr,Public (13?45 seats),5.0,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Serious Injury,16
Tuesday,Over 51,Male,Junior high school,Above 10yr,Lorry (41?100Q),8.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,16
Saturday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),5.0,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,13
Saturday,31-50,Male,Junior high school,2-5yr,Public (12 seats),0.0,  Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,13
Saturday,18-30,Male,Junior high school,Below 1yr,Other,0.0,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,13
Monday,31-50,Male,High school,5-10yr,Lorry (41?100Q),2.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,15
Monday,Over 51,Male,Above high school,1-2yr,Automobile,0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15
Thursday,18-30,Male,Junior high school,Below 1yr,Other,0.0,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,12
Wednesday,18-30,Male,Junior high school,5-10yr,Motorcycle,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,18
Wednesday,31-50,Male,High school,Below 1yr,Automobile,0.0, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,18
Tuesday,31-50,Male,High school,Below 1yr,Automobile,0.0, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,19
Friday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,17
Friday,31-50,Male,High school,2-5yr,Automobile,0.0,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17
Friday,31-50,Male,Junior high school,Above 10yr,Public (> 45 seats),0.0,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,12
Friday,18-30,Male,Junior high school,5-10yr,Public (> 45 seats),5.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,7
Friday,18-30,Male,Junior high school,1-2yr,Lorry (41?100Q),0.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Moving Backward,Slight Injury,17
Friday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Collision with pedestrians,3,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17
Friday,18-30,Male,Junior high school,Below 1yr,Lorry (41?100Q),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17
Friday,31-50,Male,High school,2-5yr,Public (12 seats),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,9
Friday,18-30,Male,Junior high school,1-2yr,Public (12 seats),0.0,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,9
Wednesday,31-50,Male,Junior high school,5-10yr,Stationwagen,8.0, Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,16
Sunday,18-30,Female,Elementary school,2-5yr,Lorry (41?100Q),0.0,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,18
Sunday,Over 51,Male,Elementary school,5-10yr,Automobile,5.0,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,13
Sunday,18-30,Male,Junior high school,Above 10yr,Pick up upto 10Q,2.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Going straight,Pedestrian,Female,18-30,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving to the left,Slight Injury,13
Sunday,18-30,Male,Junior high school,5-10yr,Automobile,8.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,13
Sunday,18-30,Male,High school,5-10yr,Public (13?45 seats),13.0,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,13
Sunday,18-30,Female,Junior high school,5-10yr,Public (> 45 seats),2.0,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Sunday,31-50,Male,Junior high school,Above 10yr,Stationwagen,5.0,Office areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,19
Sunday,31-50,Male,Junior high school,1-2yr,Automobile,0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Saturday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Turnover,Slight Injury,11
Sunday,31-50,Male,Junior high school,1-2yr,Stationwagen,5.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,12
Sunday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),0.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Turnover,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving at high speed,Slight Injury,12
Sunday,18-30,Male,Elementary school,5-10yr,Public (12 seats),0.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Moving Backward,Pedestrian,Female,5,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,12
Friday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),0.0,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,20
Friday,31-50,Male,Junior high school,Above 10yr,Other,1.0,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,20
Tuesday,Under 18,Male,Junior high school,2-5yr,Stationwagen,0.0,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,12
